Far field
"Theta"[deg]	"Total (Phi = 0 deg) [V]"	"Total (Phi = 90 deg) [V]"	"Theta (Phi = 45 deg) [V]"	"Phi (Phi = 45 deg) [V]"	
-9.00000000E+01	1.81146406E-04	1.84940234E-01	1.29484608E-01	0.00000000E+00	
-8.90000000E+01	1.04399291E-03	1.85298697E-01	1.29736646E-01	7.05834986E-04	
-8.80000000E+01	2.06174692E-03	1.86371397E-01	1.30490875E-01	1.40978361E-03	
-8.70000000E+01	3.07953689E-03	1.88150184E-01	1.31741578E-01	2.10989085E-03	
-8.60000000E+01	4.09061569E-03	1.90621196E-01	1.33479032E-01	2.80406958E-03	
-8.50000000E+01	5.09106048E-03	1.93764449E-01	1.35689223E-01	3.49004837E-03	
-8.40000000E+01	6.07712980E-03	1.97553284E-01	1.38353454E-01	4.16533709E-03	
-8.30000000E+01	7.04486227E-03	2.01953662E-01	1.41447852E-01	4.82721885E-03	
-8.20000000E+01	7.99000441E-03	2.06923346E-01	1.44942798E-01	5.47277890E-03	
-8.10000000E+01	8.90806712E-03	2.12410977E-01	1.48802276E-01	6.09898424E-03	
-8.00000000E+01	9.79449018E-03	2.18355072E-01	1.52983170E-01	6.70283143E-03	
-7.90000000E+01	1.06449323E-02	2.24682968E-01	1.57434519E-01	7.28158492E-03	
-7.80000000E+01	1.14557201E-02	2.31309745E-01	1.62096766E-01	7.83313363E-03	
-7.70000000E+01	1.22244986E-02	2.38137179E-01	1.66901018E-01	8.35649827E-03	
-7.60000000E+01	1.29511348E-02	2.45052755E-01	1.71768352E-01	8.85252473E-03	
-7.50000000E+01	1.36389221E-02	2.51928813E-01	1.76609210E-01	9.32479415E-03	
-7.40000000E+01	1.42961175E-02	2.58621886E-01	1.81322934E-01	9.78076069E-03	
-7.30000000E+01	1.49377937E-02	2.64972308E-01	1.85797486E-01	1.02330789E-02	
-7.20000000E+01	1.55878751E-02	2.70804188E-01	1.89909419E-01	1.07009881E-02	
-7.10000000E+01	1.62810433E-02	2.75925846E-01	1.93524183E-01	1.12114688E-02	
-7.00000000E+01	1.70639303E-02	2.80130840E-01	1.96496832E-01	1.17997055E-02	
-6.90000000E+01	1.79947736E-02	2.83199717E-01	1.98673245E-01	1.25082683E-02	
-6.80000000E+01	1.91407043E-02	2.84902652E-01	1.99891969E-01	1.33845510E-02	
-6.70000000E+01	2.05723393E-02	2.85003185E-01	1.99986818E-01	1.44765093E-02	
-6.60000000E+01	2.23564009E-02	2.83263298E-01	1.98790425E-01	1.58275017E-02	
-6.50000000E+01	2.45481293E-02	2.79450192E-01	1.96138970E-01	1.74715573E-02	
-6.40000000E+01	2.71854637E-02	2.73345287E-01	1.91878460E-01	1.94301989E-02	
-6.30000000E+01	3.02860343E-02	2.64756286E-01	1.85873145E-01	2.17111317E-02	
-6.20000000E+01	3.38466517E-02	2.53533758E-01	1.78017077E-01	2.43083028E-02	
-6.10000000E+01	3.78441623E-02	2.39594962E-01	1.68250704E-01	2.72025327E-02	
-6.00000000E+01	4.22365738E-02	2.22960245E-01	1.56586192E-01	3.03621099E-02	
-5.90000000E+01	4.69638513E-02	2.03812998E-01	1.43149127E-01	3.37430990E-02	
-5.80000000E+01	5.19483064E-02	1.82606622E-01	1.28252895E-01	3.72894056E-02	
-5.70000000E+01	5.70948208E-02	1.60268302E-01	1.12540615E-01	4.09328035E-02	
-5.60000000E+01	6.22913032E-02	1.38592657E-01	9.72604082E-02	4.45932019E-02	
-5.50000000E+01	6.74098498E-02	1.20894379E-01	8.47267402E-02	4.81794677E-02	
-5.40000000E+01	7.23091452E-02	1.12375986E-01	7.85987665E-02	5.15911702E-02	
-5.30000000E+01	7.68387563E-02	1.18008406E-01	8.24181524E-02	5.47216997E-02	
-5.20000000E+01	8.08461824E-02	1.38128487E-01	9.64699240E-02	5.74633742E-02	
-5.10000000E+01	8.41878750E-02	1.68749592E-01	1.17947710E-01	5.97154079E-02	
-5.00000000E+01	8.67460095E-02	2.05532238E-01	1.43781006E-01	6.13960411E-02	
-4.90000000E+01	8.84536198E-02	2.45306694E-01	1.71731041E-01	6.24607556E-02	
-4.80000000E+01	8.93317282E-02	2.85796743E-01	2.00194538E-01	6.29292748E-02	
-4.70000000E+01	8.95426112E-02	3.25192309E-01	2.27898846E-01	6.29244550E-02	
-4.60000000E+01	8.94607998E-02	3.61906761E-01	2.53729229E-01	6.27242608E-02	
-4.50000000E+01	8.97511632E-02	3.94470681E-01	2.76653393E-01	6.28186283E-02	
-4.40000000E+01	9.14114180E-02	4.21502445E-01	2.95700490E-01	6.39383961E-02	
-4.30000000E+01	9.56919298E-02	4.41724336E-01	3.09972344E-01	6.69900441E-02	
-4.20000000E+01	1.03821952E-01	4.54011752E-01	3.18678032E-01	7.28464110E-02	
-4.10000000E+01	1.16639861E-01	4.57474691E-01	3.21191218E-01	8.20766262E-02	
-4.00000000E+01	1.34388838E-01	4.51581305E-01	3.17137132E-01	9.48131140E-02	
-3.90000000E+01	1.56794168E-01	4.36348636E-01	3.06526871E-01	1.10825617E-01	
-3.80000000E+01	1.83268423E-01	4.12653121E-01	2.89975903E-01	1.29675245E-01	
-3.70000000E+01	2.13071943E-01	3.82758930E-01	2.69075523E-01	1.50826314E-01	
-3.60000000E+01	2.45390335E-01	3.51196409E-01	2.47009288E-01	1.73696753E-01	
-3.50000000E+01	2.79363751E-01	3.25908170E-01	2.29354400E-01	1.97675700E-01	
-3.40000000E+01	3.14104600E-01	3.18347739E-01	2.24144121E-01	2.22134565E-01	
-3.30000000E+01	3.48725249E-01	3.39334925E-01	2.38961600E-01	2.46446221E-01	
-3.20000000E+01	3.82387697E-01	3.91834237E-01	2.75893054E-01	2.70020333E-01	
-3.10000000E+01	4.14383896E-01	4.70189372E-01	3.30989426E-01	2.92360756E-01	
-3.00000000E+01	4.44255297E-01	5.65859533E-01	3.98269425E-01	3.13151104E-01	
-2.90000000E+01	4.71960019E-01	6.71149833E-01	4.72332797E-01	3.32374529E-01	
-2.80000000E+01	4.98091503E-01	7.79770582E-01	5.48758645E-01	3.50470524E-01	
-2.70000000E+01	5.24135925E-01	8.86471345E-01	6.23852758E-01	3.68519430E-01	
-2.60000000E+01	5.52716000E-01	9.86748948E-01	6.94444581E-01	3.88416191E-01	
-2.50000000E+01	5.87702302E-01	1.07677746E+00	7.57839289E-01	4.12946171E-01	
-2.40000000E+01	6.34015893E-01	1.15352362E+00	8.11900169E-01	4.45634756E-01	
-2.30000000E+01	6.97001130E-01	1.21501279E+00	8.55237164E-01	4.90286106E-01	
-2.20000000E+01	7.81495551E-01	1.26073371E+00	8.87493751E-01	5.50311327E-01	
-2.10000000E+01	8.91001644E-01	1.29218048E+00	9.09730873E-01	6.28145107E-01	
-2.00000000E+01	1.02732973E+00	1.31350334E+00	9.24887891E-01	7.25010978E-01	
-1.90000000E+01	1.19072495E+00	1.33213732E+00	9.38226915E-01	8.41030180E-01	
-1.80000000E+01	1.38021738E+00	1.35904705E+00	9.57502987E-01	9.75478931E-01	
-1.70000000E+01	1.59395334E+00	1.40793012E+00	9.92393728E-01	1.12702332E+00	
-1.60000000E+01	1.82941648E+00	1.49278455E+00	1.05277113E+00	1.29387221E+00	
